id,description
C-14/02,"Judgment of 8 May 2003, ATRAL (C-14/02, ECR 2003 p. I-4431) ECLI:EU:C:2003:265"
C-15/02,"Moser and others (C-15/02) , see Case  C-73/00"
C-16/02,"Removed from the register on 26 June 2002, Commission / France (C-16/02) ECLI:EU:C:2002:399"
C-17/02,"Removed from the register on 18 June 2002, Commission / Italy (C-17/02) ECLI:EU:C:2002:384"
C-18/02,"Judgment of 5 February 2004, DFDS Torline (C-18/02, ECR 2004 p. I-1417) ECLI:EU:C:2004:74"
C-19/02,"Judgment of 9 December 2004, Hlozek (C-19/02, ECR 2004 p. I-11491) ECLI:EU:C:2004:779"
C-20/02 P,"Order of 13 May 2002, Rühmkorf / Council and others (C-20/02 P, unpublished) ECLI:EU:C:2002:286"
C-21/02,"Removed from the register on 13 December 2002, Commission / Italy (C-21/02) ECLI:EU:C:2002:776"
C-22/02,"Judgment of 11 September 2003, Commission / Italy (C-22/02, ECR 2003 p. I-9011) ECLI:EU:C:2003:456"
C-23/02,"Order of 12 February 2003, Alami (C-23/02, ECR 2003 p. I-1399) ECLI:EU:C:2003:89"
C-24/02,"Order of 22 March 2002, Marseille Fret (C-24/02, ECR 2002 p. I-3383) ECLI:EU:C:2002:220"
C-25/02,"Judgment of 9 September 2003, Rinke (C-25/02, ECR 2003 p. I-8349) ECLI:EU:C:2003:435"
C-26/02,"Removed from the register on 26 February 2003, Spain / Council (C-26/02) ECLI:EU:C:2003:107"
C-27/02,"Judgment of 20 January 2005, Engler (C-27/02, ECR 2005 p. I-481) ECLI:EU:C:2005:33"
C-28/02,"Removed from the register on 1 August 2003, Commission / Spain (C-28/02) ECLI:EU:C:2003:425"
C-29/02,"Judgment of 16 January 2003, Commission / Spain (C-29/02, ECR 2003 p. I-811) ECLI:EU:C:2003:37"
C-30/02,"Judgment of 17 June 2004, Recheio - Cash & Carry (C-30/02, ECR 2004 p. I-6051) ECLI:EU:C:2004:373"
C-31/02,"Barth (C-31/02) , see Case  C-502/01"
C-32/02,"Judgment of 16 October 2003, Commission / Italy (C-32/02, ECR 2003 p. I-12063) ECLI:EU:C:2003:555"
C-33/02,"Removed from the register on 19 June 2003, Commission / Austria (C-33/02) ECLI:EU:C:2003:365"
C-34/02,"Judgment of 19 June 2003, Pasquini (C-34/02, ECR 2003 p. I-6515) ECLI:EU:C:2003:366"
C-35/02,"Order of 17 October 2003, Vogel (C-35/02, ECR 2003 p. I-12229) ECLI:EU:C:2003:570"
C-36/02,"Judgment of 14 October 2004, Omega (C-36/02, ECR 2004 p. I-9609) ECLI:EU:C:2004:614"
C-37/02,"Judgment of 15 July 2004, Di Lenardo and Dilexport (C-37/02 and C-38/02, ECR 2004 p. I-6911) ECLI:EU:C:2004:443"
C-38/02,"Dilexport (C-38/02) , see Case  C-37/02"
C-39/02,"Judgment of 14 October 2004, Mærsk Olie & Gas (C-39/02, ECR 2004 p. I-9657) ECLI:EU:C:2004:615"
C-40/02,"Judgment of 23 October 2003, Scherndl (C-40/02, ECR 2003 p. I-12647) ECLI:EU:C:2003:584"
C-41/02,"Judgment of 2 December 2004, Commission / Netherlands (C-41/02, ECR 2004 p. I-11375) ECLI:EU:C:2004:762"
C-42/02,"Judgment of 13 November 2003, Lindman (C-42/02, ECR 2003 p. I-13519) ECLI:EU:C:2003:613"
C-43/02,"Removed from the register on 29 August 2002, Landesbausparkasse Baden-Württemberg (C-43/02) ECLI:EU:C:2002:468"
C-44/02,"Removed from the register on 2 July 2002, Commission / Portugal (C-44/02) ECLI:EU:C:2002:416"
C-45/02,"Removed from the register on 10 July 2002, Commission / Portugal (C-45/02) ECLI:EU:C:2002:430"
C-46/02,"Judgment of 9 November 2004, Fixtures Marketing (C-46/02, ECR 2004 p. I-10365) ECLI:EU:C:2004:694"
C-47/02,"Judgment of 30 September 2003, Anker and others (C-47/02, ECR 2003 p. I-10447) ECLI:EU:C:2003:516"
C-48/02,"Removed from the register on 10 February 2004, Cargo Ray Uluslararasi Tasimacilile ve and others (C-48/02) ECLI:EU:C:2004:82"
C-49/02,"Judgment of 24 June 2004, Heidelberger Bauchemie (C-49/02, ECR 2004 p. I-6129) ECLI:EU:C:2004:384"
C-50/02,"Removed from the register on 11 July 2002, Commission / Italy (C-50/02) ECLI:EU:C:2002:454"
C-51/02,"Removed from the register on 5 June 2002, Commission / Ireland (C-51/02) ECLI:EU:C:2002:340"
C-52/02,"Removed from the register on 28 January 2004, Commission / United Kingdom (C-52/02) ECLI:EU:C:2004:53"
C-53/02,"Judgment of 1 April 2004, Commune de Braine-le-Château and others (C-53/02 and C-217/02, ECR 2004 p. I-3251) ECLI:EU:C:2004:205"
C-54/02,"Removed from the register on 10 December 2003, Italy / Commission (C-54/02) ECLI:EU:C:2003:659"
C-55/02,"Judgment of 12 October 2004, Commission / Portugal (C-55/02, ECR 2004 p. I-9387) ECLI:EU:C:2004:605"
C-56/02,"Judgment of 22 May 2003, Rebmann (C-56/02, ECR 2003 p. I-5499) ECLI:EU:C:2003:310"
C-57/02 P,"Judgment of 14 July 2005, Acerinox / Commission (C-57/02 P, ECR 2005 p. I-6689) ECLI:EU:C:2005:453"
C-58/02,"Judgment of 7 January 2004, Commission / Spain (C-58/02, ECR 2004 p. I-621) ECLI:EU:C:2004:9"
C-59/02,"Removed from the register on 12 July 2002, Commission / Greece (C-59/02) ECLI:EU:C:2002:456"
C-60/02,"Judgment of 7 January 2004, X (C-60/02, ECR 2004 p. I-651) ECLI:EU:C:2004:10"
C-61/02,"Removed from the register on 19 December 2002, Commission / Austria (C-61/02) ECLI:EU:C:2002:780"
C-62/02,"Removed from the register on 8 September 2003, Commission / United Kingdom (C-62/02) ECLI:EU:C:2003:428"
C-63/02,"Judgment of 16 January 2003, Commission / United Kingdom (C-63/02, ECR 2003 p. I-821) ECLI:EU:C:2003:38"
C-64/02 P,"Judgment of 21 October 2004, OHIM / Erpo Möbelwerk (C-64/02 P, ECR 2004 p. I-10031) ECLI:EU:C:2004:645"
C-65/02 P,"Judgment of 14 July 2005, ThyssenKrupp / Commission (C-65/02 P and C-73/02 P, ECR 2005 p. I-6773) ECLI:EU:C:2005:454"
C-66/02,"Judgment of 15 December 2005, Italy / Commission (C-66/02, ECR 2005 p. I-10901) ECLI:EU:C:2005:768"
C-67/02,"Judgment of 11 September 2003, Commission / Ireland (C-67/02, ECR 2003 p. I-9019) ECLI:EU:C:2003:457"
C-68/02,"Removed from the register on 3 September 2002, Commission / Austria (C-68/02) ECLI:EU:C:2002:469"
C-69/02,"Order of 22 March 2002, Reichling (C-69/02, ECR 2002 p. I-3393) ECLI:EU:C:2002:221"
C-70/02,"Removed from the register on 20 September 2002, Commission / Italy (C-70/02) ECLI:EU:C:2002:521"
C-71/02,"Judgment of 25 March 2004, Karner (C-71/02, ECR 2004 p. I-3025) ECLI:EU:C:2004:181"
C-72/02,"Judgment of 24 June 2003, Commission / Portugal (C-72/02, ECR 2003 p. I-6597) ECLI:EU:C:2003:369"
C-73/02 P,"ThyssenKrupp / Commission (C-73/02 P) , see Case  C-65/02 P"
C-74/02,"Judgment of 25 September 2003, Commission / Germany (C-74/02, ECR 2003 p. I-9877) ECLI:EU:C:2003:500"
C-75/02 P,"Order of 28 March 2003, Diputación Foral de Alava and others / Commission (C-75/02 P, ECR 2003 p. I-2903) ECLI:EU:C:2003:189"
C-76/02,"Removed from the register on 2 July 2002, Commission / Austria (C-76/02) ECLI:EU:C:2002:417"
C-77/02,"Judgment of 11 September 2003, Steinicke (C-77/02, ECR 2003 p. I-9027) ECLI:EU:C:2003:458"
C-78/02,"Judgment of 6 November 2003, Karageorgou and others (C-78/02, C-79/02 and C-80/02, ECR 2003 p. I-13295) ECLI:EU:C:2003:604"
C-79/02,"Petrova (C-79/02) , see Case  C-78/02"
C-80/02,"Vlachos (C-80/02) , see Case  C-78/02"
C-81/02,"Removed from the register on 28 July 2004, Rohringer (liquidation Eurokeramik) (C-81/02) ECLI:EU:C:2004:477"
C-82/02,"Order of 27 February 2003, Lalemant and Tivoli (C-82/02, ECR 2003 p. I-2105) ECLI:EU:C:2003:122"
C-83/02,"Judgment of 5 June 2003, Commission / Greece (C-83/02, ECR 2003 p. I-5639) ECLI:EU:C:2003:327"
C-84/02,"Removed from the register on 4 September 2002, Schaper & Brümmer (C-84/02) ECLI:EU:C:2002:470"
C-85/02,"Judgment of 13 February 2003, Commission / France (C-85/02, ECR 2003 p. I-1693) ECLI:EU:C:2003:99"
C-86/02,"Removed from the register on 7 March 2003, Commission / Germany (C-86/02) ECLI:EU:C:2003:143"
C-87/02,"Judgment of 10 June 2004, Commission / Italy (C-87/02, ECR 2004 p. I-5975) ECLI:EU:C:2004:363"
C-88/02,"Removed from the register on 15 November 2002, Dolomite Italiana (C-88/02) ECLI:EU:C:2002:678"
C-89/02,"Removed from the register on 15 November 2002, Dolomite Franchi (C-89/02) ECLI:EU:C:2002:679"
C-90/02,"Judgment of 1 April 2004, Bockemühl (C-90/02, ECR 2004 p. I-3303) ECLI:EU:C:2004:206"
C-91/02,"Judgment of 16 October 2003, Hannl + Hofstetter (C-91/02, ECR 2003 p. I-12077) ECLI:EU:C:2003:556"
C-92/02,"Judgment of 4 December 2003, Kristiansen (C-92/02, ECR 2003 p. I-14597) ECLI:EU:C:2003:652"
C-93/02 P,"Judgment of 30 September 2003, Biret International / Council (C-93/02 P, ECR 2003 p. I-10497) ECLI:EU:C:2003:517"
C-94/02 P,"Judgment of 30 September 2003, Biret and Cie / Council (C-94/02 P, ECR 2003 p. I-10565) ECLI:EU:C:2003:518"
C-95/02,"Removed from the register on 15 November 2002, Ugine (C-95/02) ECLI:EU:C:2002:680"
C-96/02,"Removed from the register on 15 November 2002, TOMAR (C-96/02) ECLI:EU:C:2002:681"
C-97/02,"Removed from the register on 15 November 2002, Rezzola Scavi (C-97/02) ECLI:EU:C:2002:682"
C-98/02,"Removed from the register on 15 November 2002, Villa Gemma (C-98/02) ECLI:EU:C:2002:683"
C-99/02,"Judgment of 1 April 2004, Commission / Italy (C-99/02, ECR 2004 p. I-3353) ECLI:EU:C:2004:207"
C-100/02,"Judgment of 7 January 2004, Gerolsteiner Brunnen (C-100/02, ECR 2004 p. I-691) ECLI:EU:C:2004:11"
C-101/02,"Removed from the register on 21 October 2003, Commission / Italy (C-101/02) ECLI:EU:C:2003:574"
C-102/02,"Judgment of 29 April 2004, Beuttenmüller (C-102/02, ECR 2004 p. I-5405) ECLI:EU:C:2004:264"
C-103/02,"Judgment of 7 October 2004, Commission / Italy (C-103/02, ECR 2004 p. I-9127) ECLI:EU:C:2004:591"
C-104/02,"Judgment of 14 April 2005, Commission / Germany (C-104/02, ECR 2005 p. I-2689) ECLI:EU:C:2005:219"
C-105/02,"Judgment of 5 October 2006, Commission / Germany (C-105/02, ECR 2006 p. I-9659) ECLI:EU:C:2006:637"
C-106/02,"Removed from the register on 12 December 2002, Commission / Germany (C-106/02) ECLI:EU:C:2002:771"
C-107/02,"Removed from the register on 4 March 2003, Commission / Germany (C-107/02) ECLI:EU:C:2003:123"
C-108/02,"Removed from the register on 12 December 2002, Commission / Germany (C-108/02) ECLI:EU:C:2002:772"
C-109/02,"Judgment of 23 October 2003, Commission / Germany (C-109/02, ECR 2003 p. I-12691) ECLI:EU:C:2003:586"
C-110/02,"Judgment of 29 June 2004, Commission / Council (C-110/02, ECR 2004 p. I-6333) ECLI:EU:C:2004:395"
C-111/02 P,"Judgment of 29 April 2004, Parliament / Reynolds (C-111/02 P, ECR 2004 p. I-5475) ECLI:EU:C:2004:265"
C-112/02,"Judgment of 1 April 2004, Kohlpharma (C-112/02, ECR 2004 p. I-3369) ECLI:EU:C:2004:208"
C-113/02,"Judgment of 14 October 2004, Commission / Netherlands (C-113/02, ECR 2004 p. I-9707) ECLI:EU:C:2004:616"
C-114/02,"Judgment of 10 April 2003, Commission / France (C-114/02, ECR 2003 p. I-3783) ECLI:EU:C:2003:235"
C-115/02,"Judgment of 23 October 2003, Rioglass and Transremar (C-115/02, ECR 2003 p. I-12705) ECLI:EU:C:2003:587"
C-116/02,"Judgment of 9 December 2003, Gasser (C-116/02, ECR 2003 p. I-14693) ECLI:EU:C:2003:657"
C-117/02,"Judgment of 29 April 2004, Commission / Portugal (C-117/02, ECR 2004 p. I-5517) ECLI:EU:C:2004:266"
C-118/02,"Judgment of 25 March 2004, Industrias de Deshidratación Agrícola (C-118/02, ECR 2004 p. I-3073) ECLI:EU:C:2004:182"
C-119/02,"Judgment of 24 June 2004, Commission / Greece (C-119/02, unpublished) ECLI:EU:C:2004:385"
C-120/02,"Removed from the register on 12 December 2002, Commission / Luxembourg (C-120/02) ECLI:EU:C:2002:773"
C-121/02,"Removed from the register on 10 July 2002, Commission / Luxembourg (C-121/02) ECLI:EU:C:2002:431"
C-122/02,"Judgment of 16 January 2003, Commission / Belgium (C-122/02, ECR 2003 p. I-833) ECLI:EU:C:2003:39"
C-123/02,"Judgment of 16 June 2005, Parliament / RSA (C-123/02, unpublished) ECLI:EU:C:2005:382"
C-124/02,"Judgment of 16 June 2005, Parliament / AIG Europe (C-124/02, unpublished) ECLI:EU:C:2005:383"
C-125/02,"Judgment of 16 June 2005, Parliament / HDI International (C-125/02, unpublished) ECLI:EU:C:2005:384"
C-126/02,"Removed from the register on 23 October 2003, Commission / Belgium (C-126/02) ECLI:EU:C:2003:588"
C-127/02,"Judgment of 7 September 2004, Waddenvereniging and Vogelsbeschermingvereniging (C-127/02, ECR 2004 p. I-7405) ECLI:EU:C:2004:482"
C-128/02 P,"Order of 4 April 2003, Schulte / Council and Commission (C-128/02 P, unpublished) ECLI:EU:C:2003:203"
C-129/02,"Removed from the register on 17 December 2002, Commission / France (C-129/02) ECLI:EU:C:2002:779"
C-130/02,"Judgment of 4 March 2004, Krings (C-130/02, ECR 2004 p. I-2121) ECLI:EU:C:2004:122"
C-131/02,"Removed from the register on 12 June 2003, Commission / Austria (C-131/02) ECLI:EU:C:2003:349"
C-132/02,"Removed from the register on 29 May 2002, Commission / Belgium (C-132/02) ECLI:EU:C:2002:311"
C-133/02,"Judgment of 22 January 2004, Timmermans Transport and Hoogenboom Production (C-133/02 and C-134/02, ECR 2004 p. I-1125) ECLI:EU:C:2004:43"
C-134/02,"Hoogenboom Production (C-134/02) , see Case  C-133/02"
C-135/02,"Removed from the register on 30 September 2003, Commission / Germany (C-135/02) ECLI:EU:C:2003:519"
C-136/02 P,"Judgment of 7 October 2004, Mag Instrument / OHIM (C-136/02 P, ECR 2004 p. I-9165) ECLI:EU:C:2004:592"
C-137/02,"Judgment of 29 April 2004, Faxworld (C-137/02, ECR 2004 p. I-5547) ECLI:EU:C:2004:267"
C-138/02,"Judgment of 23 March 2004, Collins (C-138/02, ECR 2004 p. I-2703) ECLI:EU:C:2004:172"
C-139/02 P,"Order of 11 July 2002, Gluiber / Commission (C-139/02 P, unpublished) ECLI:EU:C:2002:455"
C-140/02,"Judgment of 30 September 2003, Anastasiou and others (C-140/02, ECR 2003 p. I-10635) ECLI:EU:C:2003:520"
C-141/02 P,"Judgment of 22 February 2005, Commission / max-mobil (C-141/02 P, ECR 2005 p. I-1283) ECLI:EU:C:2005:98"
C-142/02,"Removed from the register on 15 September 2003, Commission / Luxembourg (C-142/02) ECLI:EU:C:2003:462"
C-143/02,"Judgment of 20 March 2003, Commission / Italy (C-143/02, ECR 2003 p. I-2877) ECLI:EU:C:2003:178"
C-144/02,"Judgment of 15 July 2004, Commission / Germany (C-144/02, ECR 2004 p. I-6985) ECLI:EU:C:2004:444"
C-145/02,"Judgment of 13 January 2005, Denkavit (C-145/02, ECR 2005 p. I-51) ECLI:EU:C:2005:9"
C-146/02,"Removed from the register on 6 May 2003, Commission / Austria (C-146/02) ECLI:EU:C:2003:247"
C-147/02,"Judgment of 30 March 2004, Alabaster (C-147/02, ECR 2004 p. I-3101) ECLI:EU:C:2004:192"
C-148/02,"Judgment of 2 October 2003, Garcia Avello (C-148/02, ECR 2003 p. I-11613) ECLI:EU:C:2003:539"
C-149/02,"Removed from the register on 6 March 2003, Commission / Netherlands (C-149/02) ECLI:EU:C:2003:140"
C-150/02 P,"Order of 5 February 2004, Streamserve / OHIM (C-150/02 P, ECR 2004 p. I-1461) ECLI:EU:C:2004:75"
C-151/02,"Judgment of 9 September 2003, Jaeger (C-151/02, ECR 2003 p. I-8389) ECLI:EU:C:2003:437"
C-152/02,"Judgment of 29 April 2004, Terra Baubedarf-Handel (C-152/02, ECR 2004 p. I-5583) ECLI:EU:C:2004:268"
C-153/02,"Judgment of 13 November 2003, Neri (C-153/02, ECR 2003 p. I-13555) ECLI:EU:C:2003:614"
C-154/02,"Judgment of 23 October 2003, Nilsson (C-154/02, ECR 2003 p. I-12733) ECLI:EU:C:2003:590"
C-155/02,"Removed from the register on 10 April 2003, Commission / Austria (C-155/02) ECLI:EU:C:2003:237"
C-156/02,"Removed from the register on 6 June 2005, Purschke (C-156/02) ECLI:EU:C:2005:356"
C-157/02,"Judgment of 5 February 2004, Rieser Internationale Transporte (C-157/02, ECR 2004 p. I-1477) ECLI:EU:C:2004:76"
C-158/02,"Removed from the register on 25 October 2002, Marcaletti (C-158/02) ECLI:EU:C:2002:622"
C-159/02,"Judgment of 27 April 2004, Turner (C-159/02, ECR 2004 p. I-3565) ECLI:EU:C:2004:228"
C-160/02,"Judgment of 29 April 2004, Skalka (C-160/02, ECR 2004 p. I-5613) ECLI:EU:C:2004:269"
C-161/02,"Judgment of 19 June 2003, Commission / France (C-161/02, ECR 2003 p. I-6567) ECLI:EU:C:2003:367"
C-162/02,"Removed from the register on 14 August 2003, Commission / Germany (C-162/02) ECLI:EU:C:2003:426"
C-163/02,"Removed from the register on 14 August 2003, Commission / Germany (C-163/02) ECLI:EU:C:2003:427"
C-164/02,"Order of 28 January 2004, Netherlands / Commission (C-164/02, ECR 2004 p. I-1177) ECLI:EU:C:2004:54"
C-165/02,"Spain / Commission (C-165/02) ECLI:EU:C:2004:776, see Case  T-99/05"
C-166/02,"Order of 24 July 2003, Messejana Viegas (C-166/02, ECR 2003 p. I-7871) ECLI:EU:C:2003:417"
C-167/02 P,"Judgment of 30 March 2004, Rothley and others / Parliament (C-167/02 P, ECR 2004 p. I-3149) ECLI:EU:C:2004:193"
C-168/02,"Judgment of 10 June 2004, Kronhofer (C-168/02, ECR 2004 p. I-6009) ECLI:EU:C:2004:364"
C-169/02,"Order of 6 November 2003, Dansk Postordreforening (C-169/02, ECR 2003 p. I-13329) ECLI:EU:C:2003:605"
C-170/02 P,"Judgment of 25 September 2003, Schlüsselverlag J.S. Moser and others / Commission (C-170/02 P, ECR 2003 p. I-9889) ECLI:EU:C:2003:501"
C-171/02,"Judgment of 29 April 2004, Commission / Portugal (C-171/02, ECR 2004 p. I-5645) ECLI:EU:C:2004:270"
C-172/02,"Order of 30 April 2004, Bourgard (C-172/02, ECR 2004 p. I-5823) ECLI:EU:C:2004:283"
C-173/02,"Judgment of 14 October 2004, Spain / Commission (C-173/02, ECR 2004 p. I-9735) ECLI:EU:C:2004:617"
C-174/02,"Judgment of 13 January 2005, Streekgewest (C-174/02, ECR 2005 p. I-85) ECLI:EU:C:2005:10"
C-175/02,"Judgment of 13 January 2005, Pape (C-175/02, ECR 2005 p. I-127) ECLI:EU:C:2005:11"
C-176/02 P,"Order of 30 January 2003, Laboratoire Monique Rémy / Commission (C-176/02 P, unpublished) ECLI:EU:C:2003:65"
C-177/02,"Removed from the register on 19 October 2004, Azienda Agricola Fava Alessandro e Delledonne Carla (C-177/02, C-178/02, C-179/02 and C-180/02) ECLI:EU:C:2004:638"
C-178/02,"Serpelloni (C-178/02) , see Case  C-177/02"
C-179/02,"Azienda agricola Coato Giovanni, Lorenzo & Vaccaro Ivana (C-179/02) , see Case  C-177/02"
C-180/02,"Malzani (C-180/02) , see Case  C-177/02"
C-181/02 P,"Judgment of 29 April 2004, Commission / Kvaerner Warnow Werft (C-181/02 P, ECR 2004 p. I-5703) ECLI:EU:C:2004:271"
C-182/02,"Judgment of 16 October 2003, Ligue pour la protection des oiseaux sauvages and others (C-182/02, ECR 2003 p. I-12105) ECLI:EU:C:2003:558"
C-183/02 P,"Judgment of 11 November 2004, Demesa and Territorio Histórico de Álava / Commission (C-183/02 P and C-187/02 P, ECR 2004 p. I-10609) ECLI:EU:C:2004:701"
C-184/02,"Judgment of 9 September 2004, Spain and Finland / Parliament and Council (C-184/02 and C-223/02, ECR 2004 p. I-7789) ECLI:EU:C:2004:497"
C-185/02,"Judgment of 28 October 2004, Commission / Portugal (C-185/02, unpublished) ECLI:EU:C:2004:668"
C-186/02 P,"Order of 6 March 2003, Ramondín and Ramondín Cápsulas / Commission (C-186/02 P, ECR 2003 p. I-2415) ECLI:EU:C:2003:141"
C-186/02 P,"Judgment of 11 November 2004, Ramondín and others / Commission (C-186/02 P and C-188/02 P, ECR 2004 p. I-10653) ECLI:EU:C:2004:702"
C-186/02,"Order of 14 September 2006, Comunidad Autónoma de la Rioja / Ramondín and others (C-186/02, ECR 2006 p. I-91*, Summ.pub.) ECLI:EU:C:2006:557"
C-187/02 P,"Territorio Histórico de Álava / Commission (C-187/02 P) , see Case  C-183/02 P"
C-188/02 P,"Territorio Histórico de Álava / Commission (C-188/02 P) , see Case  C-186/02 P"
C-189/02 P,"Judgment of 28 June 2005, Dansk Rørindustri and others / Commission (C-189/02 P, C-202/02 P, C-205/02 P to C-208/02 P and C-213/02 P, ECR 2005 p. I-5425) ECLI:EU:C:2005:408"
C-190/02,"Order of 8 October 2002, Viacom (C-190/02, ECR 2002 p. I-8287) ECLI:EU:C:2002:569"
C-191/02,"Removed from the register on 16 December 2002, Commission / Germany (C-191/02) ECLI:EU:C:2002:777"
C-192/02,"Removed from the register on 7 March 2003, Commission / Austria (C-192/02) ECLI:EU:C:2003:144"
C-193/02,"Removed from the register on 4 March 2003, Netherlands / Commission (C-193/02) ECLI:EU:C:2003:124"
C-194/02,"Removed from the register on 30 June 2003, Commission / Austria (C-194/02) ECLI:EU:C:2003:386"
C-195/02,"Judgment of 9 September 2004, Commission / Spain (C-195/02, ECR 2004 p. I-7857) ECLI:EU:C:2004:498"
C-196/02,"Judgment of 10 March 2005, Nikoloudi (C-196/02, ECR 2005 p. I-1789) ECLI:EU:C:2005:141"
C-197/02,"Removed from the register on 29 July 2004, Commission / Spain (C-197/02) ECLI:EU:C:2004:478"
C-198/02 P(R),"Order of 25 July 2002, De Nicola / EIB (C-198/02 P(R), unpublished) ECLI:EU:C:2002:463"
C-199/02,"Removed from the register on 18 February 2004, Parliament / Chubb (C-199/02) ECLI:EU:C:2004:106"
C-200/02,"Judgment of 19 October 2004, Zhu and Chen (C-200/02, ECR 2004 p. I-9925) ECLI:EU:C:2004:639"
C-201/02,"Judgment of 7 January 2004, Wells (C-201/02, ECR 2004 p. I-723) ECLI:EU:C:2004:12"
C-202/02 P,"Isoplus and others / Commission (C-202/02 P) , see Case  C-189/02 P"
C-203/02,"Judgment of 9 November 2004, The British Horseracing Board and others (C-203/02, ECR 2004 p. I-10415) ECLI:EU:C:2004:695"
C-204/02 P,"Order of 10 December 2003, Joynson / Commission (C-204/02 P, ECR 2003 p. I-14763) ECLI:EU:C:2003:660"
C-205/02 P,"Ke Kelit / Commission (C-205/02 P) , see Case  C-189/02 P"
C-206/02 P,"LR af 1998 / Commission (C-206/02 P) , see Case  C-189/02 P"
C-207/02 P,"Brugg Rohrsysteme / Commission (C-207/02 P) , see Case  C-189/02 P"
C-208/02 P,"LR af 1998 (Deutschland) / Commission (C-208/02 P) , see Case  C-189/02 P"
C-209/02,"Judgment of 29 January 2004, Commission / Austria (C-209/02, ECR 2004 p. I-1211) ECLI:EU:C:2004:61"
C-210/02,"Removed from the register on 28 November 2003, Commission / United Kingdom (C-210/02) ECLI:EU:C:2003:648"
C-211/02,"Judgment of 6 March 2003, Commission / Luxembourg (C-211/02, ECR 2003 p. I-2429) ECLI:EU:C:2003:142"
C-212/02,"Judgment of 24 June 2004, Commission / Austria (C-212/02, unpublished) ECLI:EU:C:2004:386"
C-213/02 P,"ABB Asea Brown Boveri / Commission (C-213/02 P) , see Case  C-189/02 P"
C-214/02,"Removed from the register on 26 March 2003, Lintschinger (C-214/02) ECLI:EU:C:2003:183"
C-215/02,"Removed from the register on 16 December 2002, Müller (C-215/02) ECLI:EU:C:2002:778"
C-216/02,"Judgment of 11 November 2004, Zuchtverband für Ponys (C-216/02, ECR 2004 p. I-10683) ECLI:EU:C:2004:703"
C-217/02,"Tillieut and others (C-217/02) , see Case  C-53/02"
C-218/02,"Judgment of 29 January 2004, Commission / United Kingdom (C-218/02, ECR 2004 p. I-1241) ECLI:EU:C:2004:62"
C-219/02,"Removed from the register on 26 June 2003, Commission / Greece (C-219/02) ECLI:EU:C:2003:383"
C-220/02,"Judgment of 8 June 2004, Österreichischer Gewerkschaftsbund (C-220/02, ECR 2004 p. I-5907) ECLI:EU:C:2004:334"
C-221/02,"Removed from the register on 25 September 2002, Commission / France (C-221/02) ECLI:EU:C:2002:529"
C-222/02,"Judgment of 12 October 2004, Paul and others (C-222/02, ECR 2004 p. I-9425) ECLI:EU:C:2004:606"
C-223/02,"Finland / Parliament and Council (C-223/02) , see Case  C-184/02"
C-224/02,"Judgment of 29 April 2004, Pusa (C-224/02, ECR 2004 p. I-5763) ECLI:EU:C:2004:273"
C-225/02,"Judgment of 20 January 2005, García Blanco (C-225/02, ECR 2005 p. I-523) ECLI:EU:C:2005:34"
C-226/02,"Removed from the register on 8 May 2003, Remedan af 1985 (C-226/02) ECLI:EU:C:2003:267"
C-227/02,"Removed from the register on 19 November 2002, Commission / Luxembourg (C-227/02) ECLI:EU:C:2002:698"
C-228/02,"Removed from the register on 17 September 2003, Commission / Luxembourg (C-228/02) ECLI:EU:C:2003:468"
C-229/02,"Removed from the register on 18 September 2003, Bietergemeinschaft debis/AC and others (C-229/02) ECLI:EU:C:2003:484"
C-230/02,"Judgment of 12 February 2004, Grossmann Air Service (C-230/02, ECR 2004 p. I-1829) ECLI:EU:C:2004:93"
C-231/02,"Removed from the register on 18 September 2003, Neumayer Bauges.mbH (C-231/02) ECLI:EU:C:2003:485"
C-232/02 P(R),"Order of 18 October 2002, Commission / Technische Glaswerke Ilmenau (C-232/02 P(R), ECR 2002 p. I-8977) ECLI:EU:C:2002:601"
C-233/02,"Judgment of 23 March 2004, France / Commission (C-233/02, ECR 2004 p. I-2759) ECLI:EU:C:2004:173"
C-234/02 P,"Judgment of 23 March 2004, Ombudsman / Lamberts (C-234/02 P, ECR 2004 p. I-2803) ECLI:EU:C:2004:174"
C-235/02,"Order of 15 January 2004, Saetti and Frediani (C-235/02, ECR 2004 p. I-1005) ECLI:EU:C:2004:26"
C-236/02,"Judgment of 12 February 2004, Slob (C-236/02, ECR 2004 p. I-1861) ECLI:EU:C:2004:94"
C-237/02,"Judgment of 1 April 2004, Freiburger Kommunalbauten (C-237/02, ECR 2004 p. I-3403) ECLI:EU:C:2004:209"
C-238/02,"Judgment of 4 March 2004, Viluckas and Jonusas (C-238/02 and C-246/02, ECR 2004 p. I-2141) ECLI:EU:C:2004:126"
C-239/02,"Judgment of 15 July 2004, Douwe Egberts (C-239/02, ECR 2004 p. I-7007) ECLI:EU:C:2004:445"
C-240/02,"Judgment of 11 March 2004, Asempre and Asociación Nacional de Empresas de Externalización y gestión de Envíos y Pequeña Paqueteria (C-240/02, ECR 2004 p. I-2461) ECLI:EU:C:2004:140"
C-241/02 P,"Removed from the register on 6 January 2003, IPSO / ECB (C-241/02 P) ECLI:EU:C:2003:2"
C-242/02,"Removed from the register on 26 March 2003, Hückel (C-242/02 and C-243/02) ECLI:EU:C:2003:184"
C-243/02,"Hückel (C-243/02) , see Case  C-242/02"
