id,description
C-48/89,"Judgment of 14 June 1990, Commission / Italy (C-48/89, ECR 1990 p. I-2425, Summ.pub.) ECLI:EU:C:1990:255"
C-49/89,"Judgment of 13 December 1989, Corsica Ferries France / Direction générale des douanes (C-49/89, ECR 1989 p. 4441) ECLI:EU:C:1989:649"
C-50/89,"BPB Industries & British Gypsum / Commission (C-50/89) ECLI:EU:C:1989:491, see Case  T-65/89"
C-51/89,"Judgment of 11 June 1991, United Kingdom and others / Council (C-51/89, C-90/89 and C-94/89, ECR 1991 p. I-2757) ECLI:EU:C:1991:241"
C-52/89,"Removed from the register on 31 January 1990, Universität Stuttgart (C-52/89) ECLI:EU:C:1990:39"
C-53/89,"Removed from the register on 6 July 1989, Proost (C-53/89) ECLI:EU:C:1989:297"
C-54/89,"Removed from the register on 9 February 1993, Commission / Italy (C-54/89) ECLI:EU:C:1993:51"
C-55/89,"Removed from the register on 15 May 1991, Commission / Italy (C-55/89) ECLI:EU:C:1991:205"
C-56/89 R,"Order of 13 June 1989, Publishers Association / Commission (C-56/89 R, ECR 1989 p. 1693) ECLI:EU:C:1989:238"
C-56/89,"Publishers Association / Commission (C-56/89) ECLI:EU:C:1989:492, see Case  T-66/89"
C-57/89 R,"Order of 16 August 1989, Commission / Germany (C-57/89 R, ECR 1989 p. 2849) ECLI:EU:C:1989:334"
C-57/89,"Judgment of 28 February 1991, Commission / Germany (C-57/89, ECR 1991 p. I-883) ECLI:EU:C:1991:89"
C-58/89,"Judgment of 17 October 1991, Commission / Germany (C-58/89, ECR 1991 p. I-4983) ECLI:EU:C:1991:391"
C-59/89,"Judgment of 30 May 1991, Commission / Germany (C-59/89, ECR 1991 p. I-2607) ECLI:EU:C:1991:225"
C-60/89,"Judgment of 21 March 1991, Monteil and Samanni (C-60/89, ECR 1991 p. I-1547) ECLI:EU:C:1991:138"
C-61/89,"Judgment of 3 October 1990, Bouchoucha (C-61/89, ECR 1990 p. I-3551) ECLI:EU:C:1990:343"
C-62/89,"Judgment of 20 March 1990, Commission / France (C-62/89, ECR 1990 p. I-925) ECLI:EU:C:1990:123"
C-63/89,"Judgment of 18 April 1991, Assurances du Crédit / Council and Commission (C-63/89, ECR 1991 p. I-1799) ECLI:EU:C:1991:152"
C-64/89,"Judgment of 26 June 1990, Hauptzollamt Giessen / Deutsche Fernsprecher (C-64/89, ECR 1990 p. I-2535) ECLI:EU:C:1990:261"
C-65/89,"Costacurta / Commission (C-65/89) ECLI:EU:C:1989:493, see Case  T-67/89"
C-66/89,"Judgment of 17 May 1990, Directeur général des douanes et droits indirects / Powerex-Europe (C-66/89, ECR 1990 p. I-1959) ECLI:EU:C:1990:212"
C-67/89,"Judgment of 27 June 1990, Berkenheide / Hauptzollamt Münster (C-67/89, ECR 1990 p. I-2615) ECLI:EU:C:1990:266"
C-68/89,"Judgment of 30 May 1991, Commission / Netherlands (C-68/89, ECR 1991 p. I-2637) ECLI:EU:C:1991:226"
C-69/89 R,"Order of 8 June 1989, Nakajima All Precision / Council (C-69/89 R, ECR 1989 p. 1689, Summ.pub.) ECLI:EU:C:1989:235"
C-69/89,"Judgment of 7 May 1991, Nakajima All Precision / Council (C-69/89, ECR 1991 p. I-2069)          (SVXI/I-149 FIXI/I-161) ECLI:EU:C:1991:186"
C-70/89,"Judgment of 13 December 1990, Commission / Italy (C-70/89, ECR 1990 p. I-4817) ECLI:EU:C:1990:472"
C-71/89,"Removed from the register on 7 February 1991, Beoco (C-71/89 and C-72/89) ECLI:EU:C:1991:49"
C-72/89,"Cargill (C-72/89) , see Case  C-71/89"
C-73/89,"Judgment of 12 November 1992, Fournier / Van Werven and others (C-73/89, ECR 1992 p. I-5621) ECLI:EU:C:1992:431"
C-74/89,"Judgment of 21 February 1990, Commission / Belgium (C-74/89, ECR 1990 p. I-491, Summ.pub.) ECLI:EU:C:1990:82"
C-75/89,"SIV / Commission (C-75/89) ECLI:EU:C:1989:494, see Case  T-68/89"
C-76/89 R,"Order of 11 May 1989, RTE and others / Commission (C-76, 77 and 91/89 R, ECR 1989 p. 1141) ECLI:EU:C:1989:192"
C-76/89,"RTE / Commission (C-76/89) ECLI:EU:C:1989:495, see Case  T-69/89"
C-77/89,"BBC / Commission (C-77/89) ECLI:EU:C:1989:496, see Case  T-70/89"
C-77/89,"BBC / Commission (C-77/89) , see Case  C-76/89 R"
C-78/89,"Dautremont / Parliament (C-78/89) ECLI:EU:C:1989:497, see Case  T-71/89"
C-79/89,"Judgment of 18 April 1991, Brown Boveri / Hauptzollamt Mannheim (C-79/89, ECR 1991 p. I-1853) ECLI:EU:C:1991:153"
C-80/89,"Judgment of 28 June 1990, Behn Verpackungsbedarf / Hauptzollamt Itzehoe (C-80/89, ECR 1990 p. I-2659) ECLI:EU:C:1990:269"
C-81/89,"Bocos Viciano / Commission (C-81/89) ECLI:EU:C:1989:498, see Case  T-72/89"
C-82/89,"Barbi / Commission (C-82/89) ECLI:EU:C:1989:499, see Case  T-73/89"
C-83/89,"Judgment of 22 March 1990, Houben (C-83/89, ECR 1990 p. I-1161) ECLI:EU:C:1990:132"
C-84/89,"Blackman / Parliament (C-84/89) ECLI:EU:C:1989:500, see Case  T-74/89"
C-85/89,"Judgment of 21 March 1990, Ravida / Office national des pensions (C-85/89, ECR 1990 p. I-1063) ECLI:EU:C:1990:128"
C-86/89,"Judgment of 6 November 1990, Italy / Commission (C-86/89, ECR 1990 p. I-3891) ECLI:EU:C:1990:373"
C-87/89,"Judgment of 17 May 1990, Sonito and others / Commission (C-87/89, ECR 1990 p. I-1981) ECLI:EU:C:1990:213"
